key,original,translation,context
BattleFieldInfo_1005牛家村广场1,No limit to the number of partners in the war.,,参战伙伴无限制。
BattleFieldInfo_1005牛家村广场2,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_1005牛家村广场3,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_1005牛家村广场4,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_2001牛家村吊桥1,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_2001牛家村吊桥2,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_2003-干野猪,No limit to the number of partners in the war.,,参战伙伴无限制。
BattleFieldInfo_M1200-3-大当家单挑,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_M1200-4-大战二当家,No limit to the number of partners in the war.,,参战伙伴无限制。
BattleFieldInfo_通缉,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldInfo_擂台战1,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_擂台战2,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_擂台战3,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldInfo_地下竞技场1,Up to 1 person can be deployed.,,最多上阵1人。
BattleFieldInfo_地下竞技场2,Up to 3 people can be deployed.,,最多上阵3人。
BattleFieldInfo_地下竞技场3,Up to 6 people can be deployed.,,最多上阵6人。
BattleFieldInfo_教训洪小七,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldWin_教训洪小七,Defeat the <#61C3C8>dirty little beggar</color>.,,击败<#61C3C8>脏兮兮的小乞丐</color>。
BattleFieldFail_教训洪小七,<#61C3C8>{PlayerName}</color> has been defeated.,,<#61C3C8>{PlayerName}</color>被击败。
BattleFieldInfo_M20300-51战斗1,Only <#61C3C8>{PlayerName}</color> can join the battle.,,仅限<#61C3C8>{PlayerName}</color>参战。
BattleFieldWin_M20300-51战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-51战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20300-51战斗2,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20300-51战斗2,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-51战斗2,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20300-53战斗1,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20300-53战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-53战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20300-54战斗1,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20300-54战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-54战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20300-56战斗1,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20300-56战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-56战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20200-1006战斗1,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20200-1006战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20200-1006战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
BattleFieldInfo_M20300-1006战斗1,"<#61C3C8>{PlayerName}</color> join the battle, up to 6 people can be deployed.",,<#61C3C8>{PlayerName}</color>参战，最多上阵6人。
BattleFieldWin_M20300-1006战斗1,Defeat <#61C3C8>all enemies</color>.,,击败<#61C3C8>全部敌人</color>。
BattleFieldFail_M20300-1006战斗1,<#61C3C8>All of our members</color> are defeated.,,<#61C3C8>我方全员</color>被击败。
